awesome-git,manejador de ventanas
alsa-utils,dependencia para ver audio
acpi,checar bateria
bluez,habilita conexiones por medio de bluetooth
bluez-utils,dependencia de bluez
brave-bin,navegador
btop,monitor de recursos
cava,visualizador de audio
catppuccin-gtk-theme,tema para gtk
colord,color deamon
cups,soporte para imprimir
dunst,notificaciones
kora-icon-theme,iconos para aplicaciones y sistema
libnotify,libreria necesaria para dunst
lsd,mejor diseno que ls escrito en rust
lxappearence,cambiar el diseno del sistema
neofetch,herramienta para informacion del sistema
neovim,editor
noise-suppression-for-voice,mejora de audio en el microfono
noto-fonts,fuente por defecto para brave
noto-fonts-emoji,fuente para aceptar emojis
maim,capturas de pantalla
wireplumber,audio
pavucontrol,majeador de dispositivos de audio gui
ranger,explorador
ripgrep,buscar por caracteres
rofi,launcher de aplicaciones
sddm,manejador de display para login
slock,bloqueador de pantalla
sxiv,visualizador de imagenes
thunar,explorador gui
tmux,mi vida
ttf-font-awesome,fuente para iconos
ttf-jetbrains-mono-git,fuente de jetbrains
ttf-fira-code,fuente para terminal
tumbler,preview de imagenes para thunar
wezterm-git,terminal
unzip,unzip archivos .zip
wlogout,menu de logout
xclip,copiar a clipboard
xcompmgr,agrega transparencia basica
xdg-user-dirs,directorios por defecto
xorg-xrandr,campiar resolucion de pantalla
xwallpaper,cambiar wallpaper desde la terminal
zip,compila archivos a .zip
zsh,shell por defecto
